编号,类别,题名,作者,年份,期刊或来源,DOI或标识,开放全文URL,用途,质量备注
1,综述,"Satellite Remote Sensing of Surface Urban Heat Islands: Progress, Challenges, and Perspectives","Zhou D.; Xiao J.; Bonafoni S.; et al.",2019,Remote Sensing,10.3390/rs11010048,https://www.mdpi.com/2072-4292/11/1/48/pdf,"SUHI遥感总体框架、尺度与挑战",同行评议综述
2,综述,"Satellite Remote Sensing of Global Land Surface Temperature: Definition, Methods, Products, and Applications","Li Z.-L.; Wu H.; Duan S.-B.; et al.",2023,Reviews of Geophysics,10.1029/2022RG000777,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2022RG000777,"LST定义、算法、产品与不确定性",权威综述
3,综述,"Evaluating the cooling effects of green infrastructure: A systematic review of methods, indicators and data sources","Bartesaghi Koc C.; Osmond P.; Peters A.",2018,Solar Energy,10.1016/j.solener.2018.03.008,https://unsworks.unsw.edu.au/bitstreams/744ee1da-4674-4c4d-8b96-ec4337c96d71/download,"方法、指标、数据源与研究缺口",系统综述165篇
4,综述,"Utilising green and bluespace to mitigate urban heat island intensity","Gunawardena K. R.; Wells M. J.; Kershaw T.",2017,Science of the Total Environment,10.1016/j.scitotenv.2017.01.158,https://api.repository.cam.ac.uk/server/api/core/bitstreams/afeb38de-c674-497d-b510-0b94116bce6d/content,"蓝绿空间物理机制与协同规划",高被引综述
5,综述,"Critical review on the cooling effect of urban blue-green space: A threshold-size perspective","Yu Z.; Yang G.; Zuo S.; et al.",2020,Urban Forestry & Urban Greening,10.1016/j.ufug.2020.126630,https://www.sciencedirect.com/science/article/pii/S1618866719302572/pdf,"阈值面积、争议与研究框架",核心综述
6,综述,"A review of the impact of blue space on the urban microclimate","Ampatzidis P.; Kershaw T.",2020,Science of the Total Environment,10.1016/j.scitotenv.2019.134265,https://purehost.bath.ac.uk/ws/files/205143074/Impact_of_Blue_Space_on_the_Urban_Microclimate_Preprint.pdf,"水体热环境机制、昼夜差异",同行评议综述/机构稿
7,方法,"Calculating cooling extents of green parks using remote sensing: Method and test","Lin W.; Yu T.; Chang X.; Wu W.; Zhang Y.",2015,Landscape and Urban Planning,10.1016/j.landurbplan.2014.10.012,https://www.sciencedirect.com/science/article/pii/S0169204614002448,"环形缓冲与温度距离曲线，识别冷却边界",方法论文
8,方法,"Using buffer analysis to determine urban park cooling intensity: Five estimation methods for Nanjing, China","Zhu R.; Wong M. S.; Guilbert E.; Chan P.-W.",2023,Science of the Total Environment,10.1016/j.scitotenv.2023.161463,https://www.sciencedirect.com/science/article/pii/S0048969723000785,"比较PCI五种估计方法",方法对比
9,实证,"Strong contributions of local background climate to the cooling effect of urban green vegetation","Yu Z.; Xu S.; Zhang Y.; Jørgensen G.; Vejre H.",2018,Scientific Reports,10.1038/s41598-018-25296-w,https://www.nature.com/articles/s41598-018-25296-w.pdf,"背景气候对绿地降温的调节",多城市研究
10,实证,"The Effect of Urban Green Spaces on the Urban Thermal Environment and Its Seasonal Variations","Ren Z.; He X.; Zheng H.; et al.",2017,Forests,10.3390/f8050153,https://www.mdpi.com/1999-4907/8/5/153/pdf,"长春四季、GF-1+Landsat、景观指标",多季节案例
11,实证,"Spatial variation of the daytime Surface Urban Cool Island during the dry season in Erbil, Iraqi Kurdistan, from Landsat 8","Rasul A.; Balzter H.; Smith C.",2015,Urban Climate,10.1016/j.uclim.2015.09.001,https://www.sciencedirect.com/science/article/pii/S2212095515300237/pdf,"Landsat 8地表冷岛空间差异",干旱区案例
12,水体综述,"Influential factors of water body to enhance the urban cooling islands (UCIs): A review","Mostofa T.; Manteghi G.",2020,International Transaction Journal of Engineering Management & Applied Sciences & Technologies,,https://tuengr.com/V11/11A02G.pdf,"水体形态、气候与周边环境影响",专题综述
